PROVINCE,MUNICIPIO,ISIC,SIZE,EMPRESAS,MUNICINUM,PROVNUM
1,101,'8511,50-99,13,484,484
1,101,'8512,1-9,61,8021,8021
1,101,'8512,10-49,13,3121,3121
1,101,'8512,100-249,1,298,298
1,101,'8512,50-99,5,484,484
1,101,'8519,1-9,61,8021,8021
1,101,'8519,10-49,26,3121,3121
1,101,'8519,100-249,2,298,298
1,101,'8519,250-,1,248,248
1,101,'8519,50-99,4,484,484
1,101,'8520,1-9,16,8021,8021
1,101,'8520,10-49,8,3121,3121
1,101,'8531,1-9,5,8021,8021
1,101,'8531,10-49,1,3121,3121
1,101,'8531,50-99,1,484,484
1,101,'8532,1-9,18,8021,8021
1,101,'8532,10-49,3,3121,3121
1,101,'9000,10-49,4,3121,3121
1,101,'9111,1-9,59,8021,8021
1,101,'9111,10-49,27,3121,3121
1,101,'9111,100-249,5,298,298
1,101,'9111,250-,3,248,248
1,101,'9111,50-99,14,484,484
1,101,'9120,1-9,7,8021,8021
1,101,'9120,10-49,2,3121,3121
1,101,'9191,1-9,37,8021,8021
1,101,'9191,10-49,14,3121,3121
1,101,'9191,100-249,2,298,298
1,101,'9191,50-99,4,484,484
1,101,'9192,1-9,1,8021,8021
1,101,'9192,50-99,1,484,484
1,101,'9199,1-9,37,8021,8021
1,101,'9199,10-49,28,3121,3121
1,101,'9199,100-249,3,298,298
1,101,'9199,250-,3,248,248
1,101,'9199,50-99,6,484,484
1,101,'9211,1-9,13,8021,8021
1,101,'9211,10-49,6,3121,3121
1,101,'9211,100-249,1,298,298
1,101,'9211,50-99,1,484,484
1,101,'9213,1-9,8,8021,8021
1,101,'9213,10-49,8,3121,3121
1,101,'9213,250-,1,248,248
1,101,'9213,50-99,1,484,484
1,101,'9214,1-9,20,8021,8021
1,101,'9214,10-49,7,3121,3121
1,101,'9219,1-9,29,8021,8021
1,101,'9219,10-49,17,3121,3121
1,101,'9219,50-99,2,484,484
1,101,'9220,1-9,3,8021,8021
1,101,'9220,10-49,1,3121,3121
1,101,'9231,1-9,5,8021,8021
1,101,'9232,1-9,3,8021,8021
1,101,'9232,10-49,1,3121,3121
1,101,'9233,100-249,1,298,298
1,101,'9241,1-9,13,8021,8021
1,101,'9241,10-49,15,3121,3121
1,101,'9241,100-249,3,298,298
1,101,'9241,50-99,1,484,484
1,101,'9249,1-9,9,8021,8021
